,ParkName,UNIT_CODE,Region,State,Year,Month,RecVisits,NonRecVisits
0,Acadia NP,ACAD,Northeast ,ME,2012,1,11930,600
1,Acadia NP,ACAD,Northeast ,ME,2012,2,12388,600
2,Acadia NP,ACAD,Northeast ,ME,2012,3,22684,600
3,Acadia NP,ACAD,Northeast ,ME,2012,4,59471,600
4,Acadia NP,ACAD,Northeast ,ME,2012,5,157406,7500
5,Acadia NP,ACAD,Northeast ,ME,2012,6,309198,7500
6,Acadia NP,ACAD,Northeast ,ME,2012,7,539234,7500
7,Acadia NP,ACAD,Northeast ,ME,2012,8,574307,7500
8,Acadia NP,ACAD,Northeast ,ME,2012,9,391810,7500
9,Acadia NP,ACAD,Northeast ,ME,2012,10,302932,6000
10,Acadia NP,ACAD,Northeast ,ME,2012,11,38385,600
11,Acadia NP,ACAD,Northeast ,ME,2012,12,11307,600
12,Acadia NP,ACAD,Northeast ,ME,2013,1,11249,600
13,Acadia NP,ACAD,Northeast ,ME,2013,2,9869,600
14,Acadia NP,ACAD,Northeast ,ME,2013,3,20631,600
15,Acadia NP,ACAD,Northeast ,ME,2013,4,47090,600
16,Acadia NP,ACAD,Northeast ,ME,2013,5,133653,7500
17,Acadia NP,ACAD,Northeast ,ME,2013,6,315791,7500
18,Acadia NP,ACAD,Northeast ,ME,2013,7,555308,7500
19,Acadia NP,ACAD,Northeast ,ME,2013,8,617306,7500
20,Acadia NP,ACAD,Northeast ,ME,2013,9,400400,7500
21,Acadia NP,ACAD,Northeast ,ME,2013,10,94904,6000
22,Acadia NP,ACAD,Northeast ,ME,2013,11,41181,600
23,Acadia NP,ACAD,Northeast ,ME,2013,12,7540,600
24,Acadia NP,ACAD,Northeast ,ME,2014,1,10459,600
25,Acadia NP,ACAD,Northeast ,ME,2014,2,10258,600
26,Acadia NP,ACAD,Northeast ,ME,2014,3,17502,600
27,Acadia NP,ACAD,Northeast ,ME,2014,4,57211,600
28,Acadia NP,ACAD,Northeast ,ME,2014,5,153013,7500
29,Acadia NP,ACAD,Northeast ,ME,2014,6,338845,7500
30,Acadia NP,ACAD,Northeast ,ME,2014,7,561073,7500
31,Acadia NP,ACAD,Northeast ,ME,2014,8,638152,7500
32,Acadia NP,ACAD,Northeast ,ME,2014,9,418173,7500
33,Acadia NP,ACAD,Northeast ,ME,2014,10,313920,6000
34,Acadia NP,ACAD,Northeast ,ME,2014,11,31013,600
35,Acadia NP,ACAD,Northeast ,ME,2014,12,13510,600
36,Acadia NP,ACAD,Northeast ,ME,2015,1,12578,600
37,Acadia NP,ACAD,Northeast ,ME,2015,2,10626,600
38,Acadia NP,ACAD,Northeast ,ME,2015,3,18062,600
39,Acadia NP,ACAD,Northeast ,ME,2015,4,63214,600
40,Acadia NP,ACAD,Northeast ,ME,2015,5,187205,7500
41,Acadia NP,ACAD,Northeast ,ME,2015,6,359661,7500
42,Acadia NP,ACAD,Northeast ,ME,2015,7,606597,7500
43,Acadia NP,ACAD,Northeast ,ME,2015,8,666767,7500
44,Acadia NP,ACAD,Northeast ,ME,2015,9,479320,7500
45,Acadia NP,ACAD,Northeast ,ME,2015,10,344362,6000
46,Acadia NP,ACAD,Northeast ,ME,2015,11,48912,600
47,Acadia NP,ACAD,Northeast ,ME,2015,12,13880,600
48,Acadia NP,ACAD,Northeast ,ME,2016,1,17204,600
49,Acadia NP,ACAD,Northeast ,ME,2016,2,16530,600
50,Acadia NP,ACAD,Northeast ,ME,2016,3,28121,600
51,Acadia NP,ACAD,Northeast ,ME,2016,4,94199,600
52,Acadia NP,ACAD,Northeast ,ME,2016,5,217147,7500
53,Acadia NP,ACAD,Northeast ,ME,2016,6,445410,7500
54,Acadia NP,ACAD,Northeast ,ME,2016,7,696854,7500
55,Acadia NP,ACAD,Northeast ,ME,2016,8,735945,7500
56,Acadia NP,ACAD,Northeast ,ME,2016,9,570434,7500
57,Acadia NP,ACAD,Northeast ,ME,2016,10,412416,6000
58,Acadia NP,ACAD,Northeast ,ME,2016,11,55022,600
59,Acadia NP,ACAD,Northeast ,ME,2016,12,14111,600
60,Acadia NP,ACAD,Northeast ,ME,2017,1,15520,600
61,Acadia NP,ACAD,Northeast ,ME,2017,2,14342,600
62,Acadia NP,ACAD,Northeast ,ME,2017,3,20936,600
63,Acadia NP,ACAD,Northeast ,ME,2017,4,85267,600
64,Acadia NP,ACAD,Northeast ,ME,2017,5,222978,7500
65,Acadia NP,ACAD,Northeast ,ME,2017,6,476191,7500
66,Acadia NP,ACAD,Northeast ,ME,2017,7,743529,7500
67,Acadia NP,ACAD,Northeast ,ME,2017,8,762436,7500
68,Acadia NP,ACAD,Northeast ,ME,2017,9,595388,7500
69,Acadia NP,ACAD,Northeast ,ME,2017,10,507594,6000
70,Acadia NP,ACAD,Northeast ,ME,2017,11,53006,600
71,Acadia NP,ACAD,Northeast ,ME,2017,12,12084,600
72,Acadia NP,ACAD,Northeast ,ME,2018,1,11974,600
73,Acadia NP,ACAD,Northeast ,ME,2018,2,12167,600
74,Acadia NP,ACAD,Northeast ,ME,2018,3,23756,600
75,Acadia NP,ACAD,Northeast ,ME,2018,4,72858,600
76,Acadia NP,ACAD,Northeast ,ME,2018,5,249050,7500
77,Acadia NP,ACAD,Northeast ,ME,2018,6,499163,7500
78,Acadia NP,ACAD,Northeast ,ME,2018,7,759165,7500
79,Acadia NP,ACAD,Northeast ,ME,2018,8,767219,7500
80,Acadia NP,ACAD,Northeast ,ME,2018,9,600397,7500
81,Acadia NP,ACAD,Northeast ,ME,2018,10,488204,6000
82,Acadia NP,ACAD,Northeast ,ME,2018,11,40930,600
83,Acadia NP,ACAD,Northeast ,ME,2018,12,12692,600
84,Acadia NP,ACAD,Northeast ,ME,2019,1,8532,600
85,Acadia NP,ACAD,Northeast ,ME,2019,2,9154,600
86,Acadia NP,ACAD,Northeast ,ME,2019,3,20161,600
87,Acadia NP,ACAD,Northeast ,ME,2019,4,68046,600
88,Acadia NP,ACAD,Northeast ,ME,2019,5,226156,7500
89,Acadia NP,ACAD,Northeast ,ME,2019,6,490720,7500
90,Acadia NP,ACAD,Northeast ,ME,2019,7,756439,7500
91,Acadia NP,ACAD,Northeast ,ME,2019,8,759735,7500
92,Acadia NP,ACAD,Northeast ,ME,2019,9,603273,7500
93,Acadia NP,ACAD,Northeast ,ME,2019,10,436194,6000
94,Acadia NP,ACAD,Northeast ,ME,2019,11,46011,600
95,Acadia NP,ACAD,Northeast ,ME,2019,12,12865,600
96,Acadia NP,ACAD,Northeast ,ME,2020,1,12640,600
97,Acadia NP,ACAD,Northeast ,ME,2020,2,13459,600
98,Acadia NP,ACAD,Northeast ,ME,2020,3,28539,600
99,Acadia NP,ACAD,Northeast ,ME,2020,4,55713,600
100,Acadia NP,ACAD,Northeast ,ME,2020,5,103120,7500
101,Acadia NP,ACAD,Northeast ,ME,2020,6,201156,7500
102,Acadia NP,ACAD,Northeast ,ME,2020,7,493971,7500
103,Acadia NP,ACAD,Northeast ,ME,2020,8,681746,7500
104,Acadia NP,ACAD,Northeast ,ME,2020,9,500320,7500
105,Acadia NP,ACAD,Northeast ,ME,2020,10,480859,6000
106,Acadia NP,ACAD,Northeast ,ME,2020,11,76251,600
107,Acadia NP,ACAD,Northeast ,ME,2020,12,21260,600
108,Acadia NP,ACAD,Northeast ,ME,2021,1,20268,600
109,Acadia NP,ACAD,Northeast ,ME,2021,2,16123,600
110,Acadia NP,ACAD,Northeast ,ME,2021,3,38060,600
111,Acadia NP,ACAD,Northeast ,ME,2021,4,110096,600
112,Acadia NP,ACAD,Northeast ,ME,2021,5,324654,7500
113,Acadia NP,ACAD,Northeast ,ME,2021,6,661919,7500
114,Acadia NP,ACAD,Northeast ,ME,2021,7,782146,7500
115,Acadia NP,ACAD,Northeast ,ME,2021,8,795437,7500
116,Acadia NP,ACAD,Northeast ,ME,2021,9,667301,7500
117,Acadia NP,ACAD,Northeast ,ME,2021,10,557624,6000
118,Acadia NP,ACAD,Northeast ,ME,2021,11,81089,600
119,Acadia NP,ACAD,Northeast ,ME,2021,12,14381,600
120,Arches NP,ARCH,Intermountain ,UT,2012,1,14961,0
121,Arches NP,ARCH,Intermountain ,UT,2012,2,17870,0
122,Arches NP,ARCH,Intermountain ,UT,2012,3,72273,0
123,Arches NP,ARCH,Intermountain ,UT,2012,4,103800,0
124,Arches NP,ARCH,Intermountain ,UT,2012,5,142876,0
125,Arches NP,ARCH,Intermountain ,UT,2012,6,143482,0
126,Arches NP,ARCH,Intermountain ,UT,2012,7,145696,0
127,Arches NP,ARCH,Intermountain ,UT,2012,8,139036,0
128,Arches NP,ARCH,Intermountain ,UT,2012,9,139801,0
129,Arches NP,ARCH,Intermountain ,UT,2012,10,96310,0
130,Arches NP,ARCH,Intermountain ,UT,2012,11,36170,0
131,Arches NP,ARCH,Intermountain ,UT,2012,12,18302,0
132,Arches NP,ARCH,Intermountain ,UT,2013,1,11099,0
133,Arches NP,ARCH,Intermountain ,UT,2013,2,16426,0
134,Arches NP,ARCH,Intermountain ,UT,2013,3,73935,0
135,Arches NP,ARCH,Intermountain ,UT,2013,4,108086,0
136,Arches NP,ARCH,Intermountain ,UT,2013,5,149321,0
137,Arches NP,ARCH,Intermountain ,UT,2013,6,154505,0
138,Arches NP,ARCH,Intermountain ,UT,2013,7,156182,0
139,Arches NP,ARCH,Intermountain ,UT,2013,8,147259,0
140,Arches NP,ARCH,Intermountain ,UT,2013,9,143755,0
141,Arches NP,ARCH,Intermountain ,UT,2013,10,57446,0
142,Arches NP,ARCH,Intermountain ,UT,2013,11,43928,0
143,Arches NP,ARCH,Intermountain ,UT,2013,12,20924,0
144,Arches NP,ARCH,Intermountain ,UT,2014,1,17038,0
145,Arches NP,ARCH,Intermountain ,UT,2014,2,22559,0
146,Arches NP,ARCH,Intermountain ,UT,2014,3,89841,0
147,Arches NP,ARCH,Intermountain ,UT,2014,4,122186,0
148,Arches NP,ARCH,Intermountain ,UT,2014,5,165379,0
149,Arches NP,ARCH,Intermountain ,UT,2014,6,170286,0
150,Arches NP,ARCH,Intermountain ,UT,2014,7,169844,0
151,Arches NP,ARCH,Intermountain ,UT,2014,8,173416,0
152,Arches NP,ARCH,Intermountain ,UT,2014,9,165222,0
153,Arches NP,ARCH,Intermountain ,UT,2014,10,115545,0
154,Arches NP,ARCH,Intermountain ,UT,2014,11,46940,0
155,Arches NP,ARCH,Intermountain ,UT,2014,12,26511,0
156,Arches NP,ARCH,Intermountain ,UT,2015,1,20699,0
157,Arches NP,ARCH,Intermountain ,UT,2015,2,34255,0
158,Arches NP,ARCH,Intermountain ,UT,2015,3,103649,0
159,Arches NP,ARCH,Intermountain ,UT,2015,4,138903,0
160,Arches NP,ARCH,Intermountain ,UT,2015,5,179804,0
161,Arches NP,ARCH,Intermountain ,UT,2015,6,189073,0
162,Arches NP,ARCH,Intermountain ,UT,2015,7,195748,0
163,Arches NP,ARCH,Intermountain ,UT,2015,8,173186,0
164,Arches NP,ARCH,Intermountain ,UT,2015,9,171711,0
165,Arches NP,ARCH,Intermountain ,UT,2015,10,115859,0
166,Arches NP,ARCH,Intermountain ,UT,2015,11,49087,0
167,Arches NP,ARCH,Intermountain ,UT,2015,12,27273,0
168,Arches NP,ARCH,Intermountain ,UT,2016,1,20311,0
169,Arches NP,ARCH,Intermountain ,UT,2016,2,33200,0
170,Arches NP,ARCH,Intermountain ,UT,2016,3,119122,0
171,Arches NP,ARCH,Intermountain ,UT,2016,4,151112,0
172,Arches NP,ARCH,Intermountain ,UT,2016,5,201718,0
173,Arches NP,ARCH,Intermountain ,UT,2016,6,211706,0
174,Arches NP,ARCH,Intermountain ,UT,2016,7,210359,0
175,Arches NP,ARCH,Intermountain ,UT,2016,8,188340,0
176,Arches NP,ARCH,Intermountain ,UT,2016,9,200906,0
177,Arches NP,ARCH,Intermountain ,UT,2016,10,146250,0
178,Arches NP,ARCH,Intermountain ,UT,2016,11,69404,0
179,Arches NP,ARCH,Intermountain ,UT,2016,12,33290,0
180,Arches NP,ARCH,Intermountain ,UT,2017,1,21549,0
181,Arches NP,ARCH,Intermountain ,UT,2017,2,38248,0
182,Arches NP,ARCH,Intermountain ,UT,2017,3,128508,0
183,Arches NP,ARCH,Intermountain ,UT,2017,4,155286,0
184,Arches NP,ARCH,Intermountain ,UT,2017,5,188726,0
185,Arches NP,ARCH,Intermountain ,UT,2017,6,193060,0
186,Arches NP,ARCH,Intermountain ,UT,2017,7,192767,0
187,Arches NP,ARCH,Intermountain ,UT,2017,8,177764,0
188,Arches NP,ARCH,Intermountain ,UT,2017,9,187603,0
189,Arches NP,ARCH,Intermountain ,UT,2017,10,138325,0
190,Arches NP,ARCH,Intermountain ,UT,2017,11,72867,0
191,Arches NP,ARCH,Intermountain ,UT,2017,12,44325,0
192,Arches NP,ARCH,Intermountain ,UT,2018,1,31810,0
193,Arches NP,ARCH,Intermountain ,UT,2018,2,40325,0
194,Arches NP,ARCH,Intermountain ,UT,2018,3,134951,0
195,Arches NP,ARCH,Intermountain ,UT,2018,4,167156,0
196,Arches NP,ARCH,Intermountain ,UT,2018,5,215255,0
197,Arches NP,ARCH,Intermountain ,UT,2018,6,214443,0
198,Arches NP,ARCH,Intermountain ,UT,2018,7,205493,0
199,Arches NP,ARCH,Intermountain ,UT,2018,8,183840,0
200,Arches NP,ARCH,Intermountain ,UT,2018,9,206254,0
201,Arches NP,ARCH,Intermountain ,UT,2018,10,147996,0
202,Arches NP,ARCH,Intermountain ,UT,2018,11,74155,0
203,Arches NP,ARCH,Intermountain ,UT,2018,12,41879,0
204,Arches NP,ARCH,Intermountain ,UT,2019,1,21499,0
205,Arches NP,ARCH,Intermountain ,UT,2019,2,30239,0
206,Arches NP,ARCH,Intermountain ,UT,2019,3,132191,0
207,Arches NP,ARCH,Intermountain ,UT,2019,4,168788,0
208,Arches NP,ARCH,Intermountain ,UT,2019,5,217474,0
209,Arches NP,ARCH,Intermountain ,UT,2019,6,225206,0
210,Arches NP,ARCH,Intermountain ,UT,2019,7,208993,0
211,Arches NP,ARCH,Intermountain ,UT,2019,8,184890,0
212,Arches NP,ARCH,Intermountain ,UT,2019,9,207857,0
213,Arches NP,ARCH,Intermountain ,UT,2019,10,149764,0
214,Arches NP,ARCH,Intermountain ,UT,2019,11,73420,0
215,Arches NP,ARCH,Intermountain ,UT,2019,12,39381,0
216,Arches NP,ARCH,Intermountain ,UT,2020,1,28462,0
217,Arches NP,ARCH,Intermountain ,UT,2020,2,42416,0
218,Arches NP,ARCH,Intermountain ,UT,2020,3,81623,0
219,Arches NP,ARCH,Intermountain ,UT,2020,4,0,0
220,Arches NP,ARCH,Intermountain ,UT,2020,5,13832,0
221,Arches NP,ARCH,Intermountain ,UT,2020,6,163699,0
222,Arches NP,ARCH,Intermountain ,UT,2020,7,193824,0
223,Arches NP,ARCH,Intermountain ,UT,2020,8,164539,0
224,Arches NP,ARCH,Intermountain ,UT,2020,9,203866,0
225,Arches NP,ARCH,Intermountain ,UT,2020,10,177864,0
226,Arches NP,ARCH,Intermountain ,UT,2020,11,103916,0
227,Arches NP,ARCH,Intermountain ,UT,2020,12,64042,0
228,Arches NP,ARCH,Intermountain ,UT,2021,1,48725,0
229,Arches NP,ARCH,Intermountain ,UT,2021,2,53986,0
230,Arches NP,ARCH,Intermountain ,UT,2021,3,151077,0
231,Arches NP,ARCH,Intermountain ,UT,2021,4,193914,0
232,Arches NP,ARCH,Intermountain ,UT,2021,5,225789,0
233,Arches NP,ARCH,Intermountain ,UT,2021,6,238499,0
234,Arches NP,ARCH,Intermountain ,UT,2021,7,211928,0
235,Arches NP,ARCH,Intermountain ,UT,2021,8,167686,0
236,Arches NP,ARCH,Intermountain ,UT,2021,9,193002,0
237,Arches NP,ARCH,Intermountain ,UT,2021,10,169983,0
238,Arches NP,ARCH,Intermountain ,UT,2021,11,98362,0
239,Arches NP,ARCH,Intermountain ,UT,2021,12,53914,0
240,Badlands NP,BADL,Midwest ,SD,2012,1,9660,1572
241,Badlands NP,BADL,Midwest ,SD,2012,2,10908,1572
242,Badlands NP,BADL,Midwest ,SD,2012,3,22784,1572
243,Badlands NP,BADL,Midwest ,SD,2012,4,31658,1572
244,Badlands NP,BADL,Midwest ,SD,2012,5,72568,1572
245,Badlands NP,BADL,Midwest ,SD,2012,6,162676,1572
246,Badlands NP,BADL,Midwest ,SD,2012,7,209064,1572
247,Badlands NP,BADL,Midwest ,SD,2012,8,189830,1572
248,Badlands NP,BADL,Midwest ,SD,2012,9,103606,1572
249,Badlands NP,BADL,Midwest ,SD,2012,10,40449,1572
250,Badlands NP,BADL,Midwest ,SD,2012,11,17791,1572
251,Badlands NP,BADL,Midwest ,SD,2012,12,12412,1572
252,Badlands NP,BADL,Midwest ,SD,2013,1,11882,2242
253,Badlands NP,BADL,Midwest ,SD,2013,2,11033,2036
254,Badlands NP,BADL,Midwest ,SD,2013,3,18258,2396
255,Badlands NP,BADL,Midwest ,SD,2013,4,20750,3027
256,Badlands NP,BADL,Midwest ,SD,2013,5,65043,6434
257,Badlands NP,BADL,Midwest ,SD,2013,6,177507,7809
258,Badlands NP,BADL,Midwest ,SD,2013,7,225096,8318
259,Badlands NP,BADL,Midwest ,SD,2013,8,208579,8702
260,Badlands NP,BADL,Midwest ,SD,2013,9,104029,6504
261,Badlands NP,BADL,Midwest ,SD,2013,10,25530,3404
262,Badlands NP,BADL,Midwest ,SD,2013,11,16663,2642
263,Badlands NP,BADL,Midwest ,SD,2013,12,8002,2190
264,Badlands NP,BADL,Midwest ,SD,2014,1,9548,1790
265,Badlands NP,BADL,Midwest ,SD,2014,2,8671,2055
266,Badlands NP,BADL,Midwest ,SD,2014,3,15898,2391
267,Badlands NP,BADL,Midwest ,SD,2014,4,25054,3500
268,Badlands NP,BADL,Midwest ,SD,2014,5,63131,6246
269,Badlands NP,BADL,Midwest ,SD,2014,6,168011,7612
270,Badlands NP,BADL,Midwest ,SD,2014,7,210370,9416
271,Badlands NP,BADL,Midwest ,SD,2014,8,208807,9202
272,Badlands NP,BADL,Midwest ,SD,2014,9,96882,6837
273,Badlands NP,BADL,Midwest ,SD,2014,10,36929,4616
274,Badlands NP,BADL,Midwest ,SD,2014,11,13973,3120
275,Badlands NP,BADL,Midwest ,SD,2014,12,10820,3106
276,Badlands NP,BADL,Midwest ,SD,2015,1,10414,2979
277,Badlands NP,BADL,Midwest ,SD,2015,2,10942,1978
278,Badlands NP,BADL,Midwest ,SD,2015,3,21924,2482
279,Badlands NP,BADL,Midwest ,SD,2015,4,27193,3070
280,Badlands NP,BADL,Midwest ,SD,2015,5,68239,6296
281,Badlands NP,BADL,Midwest ,SD,2015,6,191593,8836
282,Badlands NP,BADL,Midwest ,SD,2015,7,245400,10198
283,Badlands NP,BADL,Midwest ,SD,2015,8,231866,10898
284,Badlands NP,BADL,Midwest ,SD,2015,9,117724,7330
285,Badlands NP,BADL,Midwest ,SD,2015,10,34498,5134
286,Badlands NP,BADL,Midwest ,SD,2015,11,16771,3616
287,Badlands NP,BADL,Midwest ,SD,2015,12,12790,3094
288,Badlands NP,BADL,Midwest ,SD,2016,1,10826,2816
289,Badlands NP,BADL,Midwest ,SD,2016,2,10921,3268
290,Badlands NP,BADL,Midwest ,SD,2016,3,20501,3940
291,Badlands NP,BADL,Midwest ,SD,2016,4,22812,5001
292,Badlands NP,BADL,Midwest ,SD,2016,5,78863,7222
293,Badlands NP,BADL,Midwest ,SD,2016,6,196209,9220
294,Badlands NP,BADL,Midwest ,SD,2016,7,249194,10110
295,Badlands NP,BADL,Midwest ,SD,2016,8,217071,9332
296,Badlands NP,BADL,Midwest ,SD,2016,9,129350,7568
297,Badlands NP,BADL,Midwest ,SD,2016,10,33380,5348
298,Badlands NP,BADL,Midwest ,SD,2016,11,17970,3622
299,Badlands NP,BADL,Midwest ,SD,2016,12,9166,3274
300,Badlands NP,BADL,Midwest ,SD,2017,1,10380,3136
301,Badlands NP,BADL,Midwest ,SD,2017,2,11149,2772
302,Badlands NP,BADL,Midwest ,SD,2017,3,21498,3932
303,Badlands NP,BADL,Midwest ,SD,2017,4,23166,4592
304,Badlands NP,BADL,Midwest ,SD,2017,5,85967,6834
305,Badlands NP,BADL,Midwest ,SD,2017,6,213966,8738
306,Badlands NP,BADL,Midwest ,SD,2017,7,263506,9216
307,Badlands NP,BADL,Midwest ,SD,2017,8,237125,9160
308,Badlands NP,BADL,Midwest ,SD,2017,9,127598,7302
309,Badlands NP,BADL,Midwest ,SD,2017,10,33426,5631
310,Badlands NP,BADL,Midwest ,SD,2017,11,16807,3942
311,Badlands NP,BADL,Midwest ,SD,2017,12,9737,2204
312,Badlands NP,BADL,Midwest ,SD,2018,1,10610,2738
313,Badlands NP,BADL,Midwest ,SD,2018,2,9456,3018
314,Badlands NP,BADL,Midwest ,SD,2018,3,16616,3466
315,Badlands NP,BADL,Midwest ,SD,2018,4,21343,4564
316,Badlands NP,BADL,Midwest ,SD,2018,5,84527,13708
317,Badlands NP,BADL,Midwest ,SD,2018,6,208645,28446
318,Badlands NP,BADL,Midwest ,SD,2018,7,263863,9465
319,Badlands NP,BADL,Midwest ,SD,2018,8,217350,9222
320,Badlands NP,BADL,Midwest ,SD,2018,9,116826,18316
321,Badlands NP,BADL,Midwest ,SD,2018,10,33527,7198
322,Badlands NP,BADL,Midwest ,SD,2018,11,16442,2764
323,Badlands NP,BADL,Midwest ,SD,2018,12,9737,2204
324,Badlands NP,BADL,Midwest ,SD,2019,1,8981,2066
325,Badlands NP,BADL,Midwest ,SD,2019,2,8059,1976
326,Badlands NP,BADL,Midwest ,SD,2019,3,16517,2486
327,Badlands NP,BADL,Midwest ,SD,2019,4,25083,3070
328,Badlands NP,BADL,Midwest ,SD,2019,5,71885,6280
329,Badlands NP,BADL,Midwest ,SD,2019,6,201516,7780
330,Badlands NP,BADL,Midwest ,SD,2019,7,250898,8230
331,Badlands NP,BADL,Midwest ,SD,2019,8,207743,8530
332,Badlands NP,BADL,Midwest ,SD,2019,9,118262,6806
333,Badlands NP,BADL,Midwest ,SD,2019,10,37727,4030
334,Badlands NP,BADL,Midwest ,SD,2019,11,15450,2530
335,Badlands NP,BADL,Midwest ,SD,2019,12,8877,2200
336,Badlands NP,BADL,Midwest ,SD,2020,1,10145,2066
337,Badlands NP,BADL,Midwest ,SD,2020,2,9979,1976
338,Badlands NP,BADL,Midwest ,SD,2020,3,17183,2486
339,Badlands NP,BADL,Midwest ,SD,2020,4,17290,3070
340,Badlands NP,BADL,Midwest ,SD,2020,5,55637,6280
341,Badlands NP,BADL,Midwest ,SD,2020,6,167784,7780
342,Badlands NP,BADL,Midwest ,SD,2020,7,238875,8230
343,Badlands NP,BADL,Midwest ,SD,2020,8,220523,8530
344,Badlands NP,BADL,Midwest ,SD,2020,9,109186,6806
345,Badlands NP,BADL,Midwest ,SD,2020,10,40508,4030
346,Badlands NP,BADL,Midwest ,SD,2020,11,18926,2530
347,Badlands NP,BADL,Midwest ,SD,2020,12,10896,2200
348,Badlands NP,BADL,Midwest ,SD,2021,1,14899,2066
349,Badlands NP,BADL,Midwest ,SD,2021,2,11350,1976
350,Badlands NP,BADL,Midwest ,SD,2021,3,28182,2486
351,Badlands NP,BADL,Midwest ,SD,2021,4,42749,3070
352,Badlands NP,BADL,Midwest ,SD,2021,5,109764,6280
353,Badlands NP,BADL,Midwest ,SD,2021,6,256041,7780
354,Badlands NP,BADL,Midwest ,SD,2021,7,288004,8230
355,Badlands NP,BADL,Midwest ,SD,2021,8,236282,8530
356,Badlands NP,BADL,Midwest ,SD,2021,9,138477,6806
357,Badlands NP,BADL,Midwest ,SD,2021,10,66941,4030
358,Badlands NP,BADL,Midwest ,SD,2021,11,23432,2530
359,Badlands NP,BADL,Midwest ,SD,2021,12,8105,2200
360,Big Bend NP,BIBE,Intermountain ,TX,2012,1,22059,197
361,Big Bend NP,BIBE,Intermountain ,TX,2012,2,45585,197
362,Big Bend NP,BIBE,Intermountain ,TX,2012,3,32590,197
363,Big Bend NP,BIBE,Intermountain ,TX,2012,4,27375,197
364,Big Bend NP,BIBE,Intermountain ,TX,2012,5,37775,197
365,Big Bend NP,BIBE,Intermountain ,TX,2012,6,19330,197
366,Big Bend NP,BIBE,Intermountain ,TX,2012,7,14397,197
367,Big Bend NP,BIBE,Intermountain ,TX,2012,8,13451,197
368,Big Bend NP,BIBE,Intermountain ,TX,2012,9,16211,197
369,Big Bend NP,BIBE,Intermountain ,TX,2012,10,20958,197
370,Big Bend NP,BIBE,Intermountain ,TX,2012,11,24750,197
371,Big Bend NP,BIBE,Intermountain ,TX,2012,12,17574,197
372,Big Bend NP,BIBE,Intermountain ,TX,2013,1,22986,197
373,Big Bend NP,BIBE,Intermountain ,TX,2013,2,46573,197
374,Big Bend NP,BIBE,Intermountain ,TX,2013,3,39336,197
375,Big Bend NP,BIBE,Intermountain ,TX,2013,4,33664,197
376,Big Bend NP,BIBE,Intermountain ,TX,2013,5,39578,197
377,Big Bend NP,BIBE,Intermountain ,TX,2013,6,17284,197
378,Big Bend NP,BIBE,Intermountain ,TX,2013,7,13801,197
379,Big Bend NP,BIBE,Intermountain ,TX,2013,8,13856,197
380,Big Bend NP,BIBE,Intermountain ,TX,2013,9,14020,197
381,Big Bend NP,BIBE,Intermountain ,TX,2013,10,30835,197
382,Big Bend NP,BIBE,Intermountain ,TX,2013,11,22710,197
383,Big Bend NP,BIBE,Intermountain ,TX,2013,12,22310,197
384,Big Bend NP,BIBE,Intermountain ,TX,2014,1,28410,197
385,Big Bend NP,BIBE,Intermountain ,TX,2014,2,24159,197
386,Big Bend NP,BIBE,Intermountain ,TX,2014,3,53839,197
387,Big Bend NP,BIBE,Intermountain ,TX,2014,4,38574,197
388,Big Bend NP,BIBE,Intermountain ,TX,2014,5,23653,197
389,Big Bend NP,BIBE,Intermountain ,TX,2014,6,23963,197
390,Big Bend NP,BIBE,Intermountain ,TX,2014,7,14359,197
391,Big Bend NP,BIBE,Intermountain ,TX,2014,8,16246,197
392,Big Bend NP,BIBE,Intermountain ,TX,2014,9,22475,197
393,Big Bend NP,BIBE,Intermountain ,TX,2014,10,29882,197
394,Big Bend NP,BIBE,Intermountain ,TX,2014,11,17169,197
395,Big Bend NP,BIBE,Intermountain ,TX,2014,12,21373,197
396,Big Bend NP,BIBE,Intermountain ,TX,2015,1,30297,197
397,Big Bend NP,BIBE,Intermountain ,TX,2015,2,39199,197
398,Big Bend NP,BIBE,Intermountain ,TX,2015,3,68292,197
399,Big Bend NP,BIBE,Intermountain ,TX,2015,4,43927,197
400,Big Bend NP,BIBE,Intermountain ,TX,2015,5,30707,197
401,Big Bend NP,BIBE,Intermountain ,TX,2015,6,16697,197
402,Big Bend NP,BIBE,Intermountain ,TX,2015,7,22887,197
403,Big Bend NP,BIBE,Intermountain ,TX,2015,8,17562,197
404,Big Bend NP,BIBE,Intermountain ,TX,2015,9,16678,197
405,Big Bend NP,BIBE,Intermountain ,TX,2015,10,23237,197
406,Big Bend NP,BIBE,Intermountain ,TX,2015,11,42687,197
407,Big Bend NP,BIBE,Intermountain ,TX,2015,12,29577,197
408,Big Bend NP,BIBE,Intermountain ,TX,2016,1,36716,197
409,Big Bend NP,BIBE,Intermountain ,TX,2016,2,44176,197
410,Big Bend NP,BIBE,Intermountain ,TX,2016,3,54642,197
411,Big Bend NP,BIBE,Intermountain ,TX,2016,4,37280,197
412,Big Bend NP,BIBE,Intermountain ,TX,2016,5,40935,197
413,Big Bend NP,BIBE,Intermountain ,TX,2016,6,18630,197
414,Big Bend NP,BIBE,Intermountain ,TX,2016,7,16165,197
415,Big Bend NP,BIBE,Intermountain ,TX,2016,8,16144,197
416,Big Bend NP,BIBE,Intermountain ,TX,2016,9,18406,197
